Round,Home,Home_Score,Away,Away_Score,Venue,Date,Match_Centre_URL,Home_Win,Year,Month,Day
Round 1,Raiders,30,Warriors,8,Allegiant Stadium,2025-03-02 00:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-1/raiders-v-warriors/,True,2025,3,2
Round 1,Panthers,28,Sharks,22,Allegiant Stadium,2025-03-02 04:30:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-1/panthers-v-sharks/,True,2025,3,2
Round 1,Roosters,14,Broncos,50,Allianz Stadium,2025-03-06 09:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-1/roosters-v-broncos/,False,2025,3,6
Round 1,Wests Tigers,8,Knights,10,Campbelltown Sports Stadium,2025-03-07 07:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-1/wests-tigers-v-knights/,False,2025,3,7
Round 1,Rabbitohs,16,Dolphins,14,CommBank Stadium,2025-03-07 09:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-1/dolphins-v-rabbitohs/,True,2025,3,7
Round 1,Dragons,20,Bulldogs,28,Netstrata Jubilee Stadium,2025-03-08 06:30:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-1/dragons-v-bulldogs/,False,2025,3,8
Round 1,Sea Eagles,42,Cowboys,12,4 Pines Park,2025-03-08 08:35:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-1/sea-eagles-v-cowboys/,True,2025,3,8
Round 1,Storm,56,Eels,18,AAMI Park,2025-03-09 05:05:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-1/storm-v-eels/,True,2025,3,9
Round 2,Knights,26,Dolphins,12,McDonald Jones Stadium,2025-03-13 09:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-2/knights-v-dolphins/,True,2025,3,13
Round 2,Warriors,36,Sea Eagles,16,Go Media Stadium,2025-03-14 07:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-2/warriors-v-sea-eagles/,True,2025,3,14
Round 2,Panthers,32,Roosters,38,CommBank Stadium,2025-03-14 09:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-2/panthers-v-roosters/,False,2025,3,14
Round 2,Dragons,24,Rabbitohs,25,WIN Stadium,2025-03-15 04:00:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-2/dragons-v-rabbitohs/,False,2025,3,15
Round 2,Cowboys,12,Sharks,36,Queensland Country Bank Stadium,2025-03-15 06:30:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-2/cowboys-v-sharks/,False,2025,3,15
Round 2,Raiders,32,Broncos,22,GIO Stadium,2025-03-15 08:35:00+00:00,https://www.nrl.com/draw/nrl-premiership/2025/round-2/raiders-v-broncos/,True,2025,3,15
