Year,Round,HomeTeam,HomeScore,AwayTeam,AwayScore,Venue,Date,MatchCentreURL
2019,Round 1,Storm,22,Broncos,12,AAMI Park,2019-03-14T09:05:00Z,https://www.nrl.com/draw/nrl-premiership/2019/round-1/storm-v-broncos/
2019,Round 1,Knights,14,Sharks,8,McDonald Jones Stadium,2019-03-15T07:00:00Z,https://www.nrl.com/draw/nrl-premiership/2019/round-1/knights-v-sharks/
2019,Round 1,Roosters,16,Rabbitohs,26,Sydney Cricket Ground,2019-03-15T09:05:00Z,https://www.nrl.com/draw/nrl-premiership/2019/round-1/roosters-v-rabbitohs/
2019,Round 1,Warriors,40,Bulldogs,6,Go Media Stadium,2019-03-16T04:00:00Z,https://www.nrl.com/draw/nrl-premiership/2019/round-1/warriors-v-bulldogs/
2019,Round 1,Wests Tigers,20,Sea Eagles,6,Leichhardt Oval,2019-03-16T06:30:00Z,https://www.nrl.com/draw/nrl-premiership/2019/round-1/wests-tigers-v-sea-eagles/
2019,Round 1,Cowboys,24,Dragons,12,1300SMILES Stadium,2019-03-16T08:35:00Z,https://www.nrl.com/draw/nrl-premiership/2019/round-1/cowboys-v-dragons/
2019,Round 1,Panthers,12,Eels,20,BlueBet Stadium,2019-03-17T05:05:00Z,https://www.nrl.com/draw/nrl-premiership/2019/round-1/panthers-v-eels/
2019,Round 1,Titans,0,Raiders,21,Cbus Super Stadium,2019-03-17T07:10:00Z,https://www.nrl.com/draw/nrl-premiership/2019/round-1/titans-v-raiders/
2019,Round 2,Dragons,18,Rabbitohs,34,Netstrata Jubilee Stadium,2019-03-21T09:05:00Z,https://www.nrl.com/draw/nrl-premiership/2019/round-2/dragons-v-rabbitohs/
2019,Round 2,Raiders,10,Storm,22,GIO Stadium,2019-03-22T07:00:00Z,https://www.nrl.com/draw/nrl-premiership/2019/round-2/raiders-v-storm/
2019,Round 2,Broncos,29,Cowboys,10,Suncorp Stadium,2019-03-22T09:05:00Z,https://www.nrl.com/draw/nrl-premiership/2019/round-2/broncos-v-cowboys/
